Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2021-12-21,4972.0,0.0,2.0,4529988,0.0,7639.0,1.0,3.0,2.0,1.0,10134.0,1217.0,2.0,0.0,3797.0,4.0,0.0,0.0,0.0,0.0,0.0,8082.0,10025.0,9922.0,78.532963,2461.0,0.0,49653,626.0,0.0,687.0,7580.0,1,2494.924904236392,6398.72,12502.0,172244.0,12502.0,43192,5690.99,118575.0,2533.0073603028486,2264.1695223999977,12502.0,620008.0,5.0,359664.0,0.5779028695357548,5.744444,396805.0,12502,6
2021-12-22,5618.0,0.0,2.0,4529988,0.0,8082.0,1.0,3.0,2.0,1.0,7639.0,1220.0,2.0,0.0,4370.0,4.0,0.0,0.0,0.0,0.0,0.0,12502.0,10134.0,10588.0,66.272544,3917.0,0.0,49653,695.0,0.0,495.0,7814.0,1,2272.3202556958217,6577.66,12864.0,174434.0,12864.0,43192,5763.95,121165.0,2666.6118655001046,2375.0056432688693,12864.0,633528.0,5.0,360008.0,0.5785702251770647,4.577778,397364.0,12864,6
2021-12-23,7639.0,0.0,2.0,4529988,0.0,12502.0,1.0,3.0,2.0,1.0,8082.0,1210.0,2.0,0.0,6143.0,4.0,0.0,0.0,0.0,0.0,0.0,12864.0,7639.0,11803.0,66.604136,4503.0,0.0,49653,683.0,0.0,543.0,10251.0,1,2451.4950903027966,6807.38,15989.0,177238.0,15989.0,43192,5850.59,124474.0,2962.557726226772,2581.575453110839,15989.0,652629.0,5.0,360521.0,0.5790272843139038,5.272222,397971.0,15989,6
2021-12-24,7639.0,0.0,2.0,4529988,0.0,12864.0,1.0,3.0,2.0,1.0,12502.0,1217.0,2.0,0.0,6751.0,4.0,0.0,0.0,0.0,0.0,0.0,15989.0,8082.0,10025.0,55.315239,4487.0,0.0,49653,650.0,0.0,1317.0,9535.0,1,2645.122051374481,7005.92,15989.0,177269.0,15989.0,43192,5917.26,124494.0,3131.688804619807,2713.7505844773023,15989.0,652821.0,5.0,360525.0,0.5791090568431282,12.722222,397996.0,14414,6
2021-12-25,0.0,0.0,2.0,4529988,0.0,15989.0,1.0,3.0,2.0,1.0,12864.0,1219.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14414.0,12502.0,10134.0,85.718937,4348.0,0.0,49653,612.0,0.0,1456.0,8374.0,1,4486.335074423334,6918.96,15989.0,177276.0,15989.0,43192,5833.77,124499.0,3264.548404310017,2766.1067883852384,15989.0,652928.0,5.0,360526.0,0.5791414428448272,15.061111,398003.0,0,6
2021-12-26,0.0,0.0,2.0,4529988,0.0,14414.0,1.0,3.0,2.0,1.0,15989.0,1208.0,2.0,0.0,9143.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12864.0,7639.0,79.500282,2791.0,0.0,49653,637.0,0.0,1205.0,6088.0,1,5602.341736571791,7281.48,20917.0,177279.0,20917.0,43192,5958.47,124499.0,3764.8768049879295,3140.8085829368674,20917.0,652950.0,5.0,360526.0,0.5791484980630451,12.95,398007.0,20917,6
2021-12-27,0.0,0.0,2.0,4529988,0.0,0.0,1.0,3.0,2.0,1.0,14414.0,1216.0,2.0,0.0,4222.0,4.0,0.0,0.0,0.0,0.0,0.0,20917.0,15989.0,8082.0,87.964499,4363.0,0.0,49653,678.0,0.0,1183.0,7892.0,1,5682.334243561925,7356.06,20917.0,177289.0,20917.0,43192,5972.23,124502.0,3742.753212352219,3147.1685875221647,20917.0,653007.0,5.0,360530.0,0.5791666886256792,15.505556,398015.0,8092,6
2021-12-28,0.0,0.0,2.0,4529988,0.0,20917.0,1.0,3.0,2.0,1.0,0.0,1204.0,2.0,0.0,4245.0,4.0,0.0,0.0,0.0,0.0,0.0,8092.0,14414.0,12502.0,80.791516,3122.0,0.0,49653,837.0,0.0,1469.0,7981.0,1,5828.983745998264,7601.68,20917.0,182002.0,20917.0,43192,6081.98,129835.0,3860.346285831368,3281.2793328525768,20917.0,698155.0,5.0,361658.0,0.5807861587158891,15.116667,399360.0,15403,6
2021-12-29,0.0,0.0,2.0,4529988,0.0,8092.0,1.0,3.0,2.0,1.0,20917.0,1232.0,2.0,0.0,5731.0,4.0,0.0,0.0,0.0,0.0,0.0,15403.0,0.0,12864.0,91.146513,4952.0,0.0,49653,888.0,0.0,857.0,6701.0,1,6238.857748908191,7909.04,20917.0,183838.0,20917.0,43192,6236.19,131913.0,4238.364022851918,3574.3987435203985,20917.0,709982.0,5.0,362085.0,0.5813952875562441,7.727778,399884.0,20320,6
2021-12-30,0.0,0.0,2.0,4529988,0.0,15403.0,1.0,3.0,2.0,1.0,8092.0,1250.0,2.0,0.0,6745.0,4.0,0.0,0.0,0.0,0.0,0.0,20320.0,20917.0,15989.0,93.992669,5527.0,0.0,49653,908.0,0.0,895.0,7654.0,1,6339.064884595489,8193.98,20917.0,186202.0,20917.0,43192,6365.79,134223.0,4542.916376478315,3821.9397616022898,20917.0,726125.0,5.0,362617.0,0.5822282283191019,8.1,400650.0,19774,6
